utc_iso,global_sequence,cycle_index,target_index,target_nominal_mm,retreat_mm,position_measured_mm,residual_mm,sample_within_point
2026-03-28T21:49:33.682934+00:00,96,20,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:49:39.113549+00:00,97,20,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:49:48.508802+00:00,98,20,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:49:54.575957+00:00,99,20,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:50:03.158964+00:00,100,20,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:50:13.201488+00:00,101,21,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:50:18.638092+00:00,102,21,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:50:28.027198+00:00,103,21,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:50:34.086582+00:00,104,21,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:50:42.659316+00:00,105,21,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:50:52.689617+00:00,106,22,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:50:58.130844+00:00,107,22,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:51:07.526558+00:00,108,22,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:51:13.649504+00:00,109,22,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:51:22.272829+00:00,110,22,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:51:32.294278+00:00,111,23,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:51:37.724620+00:00,112,23,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:51:47.183329+00:00,113,23,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:51:53.256063+00:00,114,23,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:52:01.881759+00:00,115,23,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:52:11.910799+00:00,116,24,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:52:17.338435+00:00,117,24,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:52:26.799231+00:00,118,24,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:52:32.873127+00:00,119,24,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:52:41.457001+00:00,120,24,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:52:51.475695+00:00,121,25,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:52:56.856321+00:00,122,25,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:53:06.301246+00:00,123,25,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:53:12.358463+00:00,124,25,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:53:20.932233+00:00,125,25,4,0.0,2.5,0.0,0.0,1
